Street,City,State,Zip,City State
4306 Butler Pl,OKLAHOMA CITY,OK,73118,"OKLAHOMA CITY, OK"
5000 SE 88th St,DEL CITY,OK,73135,"DEL CITY, OK"
424 Wildfire Dr,Norman,OK,73026,"Norman, OK"
2609 STRATTON DR,EDMOND,OK,73013,"EDMOND, OK"
8724 NW 117th Ct,OKLAHOMA CITY,OK,73162,"OKLAHOMA CITY, OK"
19117 Se 59th St,Newalla,OK,74857,"Newalla, OK"
3104 SW 46TH ST,OKLAHOMA CITY,OK,73119,"OKLAHOMA CITY, OK"
14241 E VARGAS RD,CHOCTAW,OK,73020,"CHOCTAW, OK"
2700 Nw 120th St,Oklahoma City,OK,73120,"Oklahoma City, OK"
1004 NW 166TH ST,EDMOND,OK,73012,"EDMOND, OK"
10205 NW 25th St,YUKON,OK,73099,"YUKON, OK"
11639 Tyson Ct,Midwest City,OK,73130,"Midwest City, OK"
1901 FOUNTAIN VIEW,EDMOND,OK,73013,"EDMOND, OK"
3601 Dixie Rd,Harrah,OK,73045,"Harrah, OK"
2332 SHADOWLAKE DR,Oklahoma City,OK,73159,"Oklahoma City, OK"
1816 NW 14TH ST,OKLAHOMA CITY,OK,73106,"OKLAHOMA CITY, OK"
3744 SE 23RD ST,OKLAHOMA CITY,OK,73115,"OKLAHOMA CITY, OK"
6501 HARRISON BLVD,OKLAHOMA CITY,OK,73141,"OKLAHOMA CITY, OK"
3741 NW 60TH ST,OKLAHOMA CITY,OK,73112,"OKLAHOMA CITY, OK"
2516 OZARK TRL,EDMOND,OK,73003,"EDMOND, OK"
4621 Northwest 15th Street,Oklahoma City,OK,73127,"Oklahoma City, OK"
4014 Morain Court,Norman,OK,73072,"Norman, OK"
1033 Mockingbird LN,Norman,OK,73071,"Norman, OK"
8904 S YOUNGS BLVD,OKLAHOMA CITY,OK,73159,"OKLAHOMA CITY, OK"
201 BLUEGRASS LN,EDMOND,OK,73003,"EDMOND, OK"
1437 E Cherry St,CUSHING,OK,74023,"CUSHING, OK"
2709 SW 54TH PL,OKLAHOMA CITY,OK,73119,"OKLAHOMA CITY, OK"
1607 NW 9TH ST,OKLAHOMA CITY,OK,73106,"OKLAHOMA CITY, OK"
3604 N Laird Ave,Oklahoma City,OK,73105,"Oklahoma City, OK"
1044 SW 47TH ST,OKLAHOMA CITY,OK,73109,"OKLAHOMA CITY, OK"
5208 FREEDOM CITY BLVD,SPENCER,OK,73084,"SPENCER, OK"
2604 SE 39th Street,Moore,OK,73160,"Moore, OK"
11301 S Hiwassee Road,Oklahoma City,OK,73165,"Oklahoma City, OK"
5204 Eden Cir,Oklahoma City,OK,73135,"Oklahoma City, OK"
4008 CHERRY HILL LN,OKLAHOMA CITY,OK,73120,"OKLAHOMA CITY, OK"
2709 NE Success St,OKLAHOMA CITY,OK,73111,"OKLAHOMA CITY, OK"
9705 E 110th Pl N,OWASSO,OK,74055,"OWASSO, OK"
2306 W 10th Ave,STILLWATER,OK,74074,"STILLWATER, OK"
1709 Forest Rd,EDMOND,OK,73025,"EDMOND, OK"
4700 Jenkins Ave,NORMAN,OK,73069,"NORMAN, OK"
300 Crown Colony Ln,Edmond,OK,73034,"Edmond, OK"
216 SE 28TH ST,MOORE,OK,73160,"MOORE, OK"
4626 S Tacoma Ave,TULSA,OK,74107,"TULSA, OK"
9404 STARDUST LN,MIDWEST CITY,OK,73130,"MIDWEST CITY, OK"
10101 S Klein Ave,Oklahoma City,OK,73139,"Oklahoma City, OK"
1013 Penn LN,Moore,OK,73160,"Moore, OK"
1013 Sw 93rd St,Oklahoma City,OK,73139,"Oklahoma City, OK"
1014 Hunting Horse TRL,Norman,OK,73071,"Norman, OK"
1024 SW 67TH PL,OKLAHOMA CITY,OK,73139,"OKLAHOMA CITY, OK"
103 N 7TH ST,ARCADIA,OK,73007,"ARCADIA, OK"
10551 Glad Lane,Norman,OK,73026,"Norman, OK"
108 SW 103rd St,Oklahoma City,OK,73139,"Oklahoma City, OK"
109 WINDSOR WAY,MIDWEST CITY,OK,73110,"MIDWEST CITY, OK"
1109 N Creek Dr,Edmond,OK,73034,"Edmond, OK"
1109 SW 102ND ST,Oklahoma City,OK,73139,"Oklahoma City, OK"
11100 North Markwell Court,Oklahoma City,Oklahoma,73162,"Oklahoma City, Oklahoma"
1113 SW 67TH PL,OKLAHOMA CITY,OK,73139,"OKLAHOMA CITY, OK"
11420 N Florida Ave,Oklahoma City,OK,73120,"Oklahoma City, OK"
1144 NW 47TH ST,OKLAHOMA CITY,OK,73118,"OKLAHOMA CITY, OK"
116 W RICH ST,Norman,OK,73069,"Norman, OK"
11613 N ROSS AVE,OKLAHOMA CITY,OK,73120,"OKLAHOMA CITY, OK"
117 E PRATT DR,MIDWEST CITY,OK,73110,"MIDWEST CITY, OK"
11835 BURNING OAKS RD,OKLAHOMA CITY,OK,73150,"OKLAHOMA CITY, OK"
1219 Kansas ST,Norman,OK,73069,"Norman, OK"
1220 E Etowah Road,Noble,OK,73068,"Noble, OK"
12204 Lorien Way,Oklahoma City,OK,73170,"Oklahoma City, OK"
1224 NE 18TH ST,OKLAHOMA CITY,OK,73111,"OKLAHOMA CITY, OK"
124 Wayne St,Edmond,OK,73003,"Edmond, OK"
12608 Saint Lukes Ln,Oklahoma City,OK,73142,"Oklahoma City, OK"
12712 Green Oak Dr,CHOCTAW,OK,73020,"CHOCTAW, OK"
12807 Forest Glen Dr,Choctaw,OK,73020,"Choctaw, OK"
13104 Turtle Creek Dr,OklAHOMA CITY,OK,730170,"OklAHOMA CITY, OK"
1322 NW 85TH ST,OKLAHOMA CITY,OK,73114,"OKLAHOMA CITY, OK"
1323 EDINBURG DR,YUKON,OK,73099,"YUKON, OK"
1327 E CHEROKEE AVE,Enid,OK,73701,"Enid, OK"
13301 S Hiwassee RD,OKLAHOMA CITY,OK,73165,"OKLAHOMA CITY, OK"
13600 W. BRITTON ROAD,YUKON,OK,73099,"YUKON, OK"
137 W GLENHAVEN DR,MIDWEST CITY,OK,73110,"MIDWEST CITY, OK"
13701 P H Turnaround,Jones,OK,73049,"Jones, OK"
1401 DORCHESTER DR,OKLAHOMA CITY,OK,73114,"OKLAHOMA CITY, OK"
14116 Saw Mill Rd,Oklahoma City,OK,73170,"Oklahoma City, OK"
14270 S 49th W Ave,Kiefer,OK,74041,"Kiefer, OK"
14433 SE 23RD ST,CHOCTAW,,73020,"CHOCTAW,"
1449 NE 10th St,OKLAHOMA CITY,OK,73117,"OKLAHOMA CITY, OK"
14801 E Vfw Rd,Glencoe,OK,74032,"Glencoe, OK"
14816 AUREA LN,OKLAHOMA CITY,OK,73142,"OKLAHOMA CITY, OK"
15 LIBERTY LN,HARRAH,OK,73045,"HARRAH, OK"
1520 NW 21st St,Oklahoma City,OK,73106,"Oklahoma City, OK"
1528 HOLLIDAY DR,Norman,OK,73069,"Norman, OK"
1536 NW 36TH ST,OKLAHOMA CITY,OK,73118,"OKLAHOMA CITY, OK"
1553 SW 95th CT,Oklahoma City,OK,73159,"Oklahoma City, OK"
16004 Stone Meadows Drive,Oklahoma City,OK,73170,"Oklahoma City, OK"
1601 Rock Hollow DR,NORMAN,OK,73071,"NORMAN, OK"
1604 S 165th West Ave,SAND SPRINGS,OK,74063,"SAND SPRINGS, OK"
16312 SNOWY OWL DR,EDMOND,OK,73013,"EDMOND, OK"
16609 Fenmoor Lane,Edmond,OK,73012,"Edmond, OK"
1719 Ridgemont Circle,Norman,OK,73071,"Norman, OK"
17601 TALL OAK RD,CHOCTAW,OK,73020,"CHOCTAW, OK"
17700 Reynolds Lake DR,Norman,OK,73026,"Norman, OK"
1802 Aladdin ST,Norman,OK,73072,"Norman, OK"
1808 LOIS LYNN LN,EDMOND,OK,73003,"EDMOND, OK"
1809 RUNNING BRANCH RD,EDMOND,OK,73013,"EDMOND, OK"
1837 N Gale Ave,Moore,OK,73160,"Moore, OK"
1900 N Oakhill Road,Bethany,OK,73008,"Bethany, OK"
1916 Mulholland Dr,EDMOND,OK,73012,"EDMOND, OK"
1916 SYMPHONY LN,MIDWEST CITY,OK,73130,"MIDWEST CITY, OK"
2000 Nw 15th St,Oklahoma City,OK,73106,"Oklahoma City, OK"
2025 Myers Terrace,Oklahoma City,OK,73141,"Oklahoma City, OK"
20435 CROOKED OAK DR,HARRAH,OK,73045,"HARRAH, OK"
20678 HAAS ST,HARRAH,OK,73045,"HARRAH, OK"
20729 SE 59TH ST,OKLAHOMA CITY,OK,73129,"OKLAHOMA CITY, OK"
208 S ENGLISH DR,MOORE,OK,73160,"MOORE, OK"
2101 N Mickey Rd,Del City,OK,73115,"Del City, OK"
2106 NW 18TH ST,OKLAHOMA CITY,OK,73107,"OKLAHOMA CITY, OK"
2110 Meench Drive,Moore,OK,73170,"Moore, OK"
2124 SW 60th street,Oklahoma City,OK,73159,"Oklahoma City, OK"
2125 N DIVIS AVE,BETHANY,OK,73008,"BETHANY, OK"
2125 N GATEWOOD AVE,OKLAHOMA CITY,OK,73106,"OKLAHOMA CITY, OK"
2136 BARCLAY RD,OKLAHOMA CITY,OK,73120,"OKLAHOMA CITY, OK"
2136 SW 23rd Street,Oklahoma City,OK,73108,"Oklahoma City, OK"
214 N STATE ST,JONES,OK,73003,"JONES, OK"
215 E Almond St,Lexington,OK,73051,"Lexington, OK"
216 MCKINLEY,CALUMET,OK,73014,"CALUMET, OK"
224 Edgemere Court,Oklahoma City,OK,73118,"Oklahoma City, OK"
2304 S INDIANA AVE,OKLAHOMA CITY,OK,73108,"OKLAHOMA CITY, OK"
2317 CASHION PL,OKLAHOMA CITY,OK,73112,"OKLAHOMA CITY, OK"
2411 W 10Th Ave,Stillwater,OK,74074,"Stillwater, OK"
2413 GLENROCK,EDMOND,OK,73012,"EDMOND, OK"
2417 AUSTRIAN PINE DR,MIDWEST CITY,OK,73020,"MIDWEST CITY, OK"
2419 S AGNEW AVE,OKLAHOMA CITY,OK,73108,"OKLAHOMA CITY, OK"
2428 SW 38th St,Oklahoma City,OK,73119,"Oklahoma City, OK"
24501 N Council Rd,Edmond,OK,73025,"Edmond, OK"
2507 N JEFFERSON ST,ENID,OK,73703,"ENID, OK"
2509 SW 52nd St,Oklahoma City,OK,73119,"Oklahoma City, OK"
2513 EAGLE DR,DEL CITY,OK,73115,"DEL CITY, OK"
2620 SW 67th St,Oklahoma City,OK,73159,"Oklahoma City, OK"
2716 NW 110th St,Oklahoma City,OK,73120,"Oklahoma City, OK"
2727 FALCON CREST DR,ENID,OK,73703,"ENID, OK"
28 SE 38TH ST,OKLAHOMA CITY,OK,73129,"OKLAHOMA CITY, OK"
2805 Danielle Terrace,Moore,OK,73160,"Moore, OK"
2904 Shortgrass Rd,Edmond,OK,73003,"Edmond, OK"
2916 CORNWALL PL,OKLAHOMA CITY,OK,73120,"OKLAHOMA CITY, OK"
2921 NW 181ST ST,EDMOND,OK,73012,"EDMOND, OK"
2921 SW 140th St,Oklahoma City,OK,73170,"Oklahoma City, OK"
2930 SW 52ND ST,OKLAHOMA CITY,OK,73119,"OKLAHOMA CITY, OK"
3029 NW 160TH ST,EDMOND,OK,73013,"EDMOND, OK"
3029 SW 27th St,OKLAHOMA CITY,OK,73108,"OKLAHOMA CITY, OK"
307 SE 55TH ST,OKLAHOMA CITY,OK,73129,"OKLAHOMA CITY, OK"
309 S 8th ST,NOBLE,OK,73068,"NOBLE, OK"
3108 NE 11TH ST,OKLAHOMA CITY,OK,73117,"OKLAHOMA CITY, OK"
3109 SW 126th Street,Oklahoma City,OK,73170,"Oklahoma City, OK"
3116 Drexel Ct,Oklahoma City,OK,73107,"Oklahoma City, OK"
3120 Lazy Lane,Del City,OK,73115,"Del City, OK"
3121 NW 67TH ST,OKLAHOMA CITY,OK,,"OKLAHOMA CITY, OK"
3124 SW 121st St,Oklahoma City,OK,73170,"Oklahoma City, OK"
3140 N GERALDINE AVE,OKLAHOMA CITY,OK,73112,"OKLAHOMA CITY, OK"
315 SW 23rd Street,Oklahoma City,OK,73109,"Oklahoma City, OK"
3201 N Meridian Ct,Oklahoma City,OK,73122,"Oklahoma City, OK"
3204 PRAIRIE AVE,EDMOND,OK,73013,"EDMOND, OK"
3216 NW 27th St,Oklahoma City,OK,73107,"Oklahoma City, OK"
3220 SW 44TH ST,OKLAHOMA CITY,OK,,"OKLAHOMA CITY, OK"
3221 NE 14th Pl,OKLAHOMA CITY,OK,73117,"OKLAHOMA CITY, OK"
327 Foreman Avenue,Norman,OK,73069,"Norman, OK"
3301 N Vermont Ave,Oklahoma City,OK,73112,"Oklahoma City, OK"
3313 N Glenvalley Dr,MIDWEST CITY,Ok,73110,"MIDWEST CITY, Ok"
337688 E 1070 Rd,McCloud,OK,74851,"McCloud, OK"
3407 S WALNUT CREEK DR W,SAND SPRINGS,OK,74063,"SAND SPRINGS, OK"
3416 Meadow Ln,Edmond,OK,73013,"Edmond, OK"
3421 PARADISE DR,SPENCER,OK,73084,"SPENCER, OK"
3424 Red Rock Road,OKLAHOMA CITY,OK,73120,"OKLAHOMA CITY, OK"
3424 Valley Hollow,Norman,OK,73071,"Norman, OK"
3505 HIGHSIDE CT,OKLAHOMA CITY,OK,73120,"OKLAHOMA CITY, OK"
3520 N WINDSOR AVE,OKLAHOMA CITY,OK,73122,"OKLAHOMA CITY, OK"
3601 NE 12th Street,Moore,OK,73160,"Moore, OK"
3604 Bella Vista Drive,Midwest city,OK,73110,"Midwest city, OK"
3616 BARWICK DR,Norman,OK,73072,"Norman, OK"
3620 N Meridian,OKLAHOMA CITY,OK,73112,"OKLAHOMA CITY, OK"
3620 N SHADYWOOD DR,MIDWEST CITY,OK,73110,"MIDWEST CITY, OK"
3700 SW 41st St,OKLAHOMA CITY,OK,73119,"OKLAHOMA CITY, OK"
3724 N Williams St,Oklahoma City,Ok,73112,"Oklahoma City, Ok"
3730 W 43rd St,TULSA,OK,74135,"TULSA, OK"
3800 AMADEUS AVE,HARRAH,OK,73045,"HARRAH, OK"
3813 VETERANS LN,DEL CITY,OK,73115,"DEL CITY, OK"
3839 NW 46TH ST,OKLAHOMA CITY,OK,73112,"OKLAHOMA CITY, OK"
400 TIMBERDALE TER,EDMOND,OK,73034,"EDMOND, OK"
4004 Twisted Trail,Oklahoma City,OK,73150,"Oklahoma City, OK"
401 S Coyle St,Ripley,OK,74074,"Ripley, OK"
405 N Janeway,Moore,OK,73160,"Moore, OK"
4064 NW 60TH ST,OKLAHOMA CITY,OK,73112,"OKLAHOMA CITY, OK"
413 S Patterson Dr,Moore,OK,73160,"Moore, OK"
415 SE 21ST ST,OKLAHOMA CITY,OK,73129,"OKLAHOMA CITY, OK"
416 ABILENE AVE,EDMOND,OK,73003,"EDMOND, OK"
416 Cedar Bend Dr,MIDWEST CITY,OK,73130,"MIDWEST CITY, OK"
4225 MELLOW HILL DR,OKLAHOMA CITY,OK,73120,"OKLAHOMA CITY, OK"
4313 NW 26th St,OKLAHOMA CITY,OK,73107,"OKLAHOMA CITY, OK"
4318 NW 63rd St #4,OKLAHOMA CITY,OK,73116,"OKLAHOMA CITY, OK"
4328 NW 12th St,OKLAHOMA CITY,OK,73107,"OKLAHOMA CITY, OK"
4332 NW 46th St,Oklahoma City,OK,73112,"Oklahoma City, OK"
4400 SUNSET TER,SPENCER,OK,73084,"SPENCER, OK"
307 N 4th St,Noble,OK,73068,"Noble, OK"
4412 SE 12TH ST,DEL CITY,OK,73115,"DEL CITY, OK"
4500 NW 31st St,Oklahoma City,OK,73122,"Oklahoma City, OK"
4513 MEADOWPARK DR,OKLAHOMA CITY,OK,73110,"OKLAHOMA CITY, OK"
4628 N ANN ARBOR AVE,WARR ACRES,OK,73122,"WARR ACRES, OK"
4729 TATE DR,OKLAHOMA CITY,OK,73115,"OKLAHOMA CITY, OK"
4736 Koelsch Drive,Del City,OK,73117,"Del City, OK"
4913 MISSOURI AVE,OKLAHOMA CITY,OK,73111,"OKLAHOMA CITY, OK"
500 Golden oaks Drive,Norman,Ok,73072,"Norman, Ok"
504 Foreman AVE,Norman,OK,73069,"Norman, OK"
506 Armstrong Street,Moore,OK,73160,"Moore, OK"
510 N Oak Ave,Talequah,OK,74464,"Talequah, OK"
5105 S Karen St,Oklahoma City,OK,73135,"Oklahoma City, OK"
512 NW 171st St,Edmond,OK,73012,"Edmond, OK"
5145 E 25TH ST,TULSA,OK,74114,"TULSA, OK"
521 W ACRES ST,Norman,OK,73069,"Norman, OK"
5213 NW 116TH ST,OKLAHOMA CITY,OK,73162,"OKLAHOMA CITY, OK"
5215 N HARRAH RD,HARRAH,OK,73045,"HARRAH, OK"
526 NW 43rd St,OKLAHOMA CITY,OK,73118,"OKLAHOMA CITY, OK"
5412 NW 107TH TER,OKLAHOMA CITY,OK,73162,"OKLAHOMA CITY, OK"
550 36TH AVE NE,Norman,OK,73026,"Norman, OK"
5508 NW 37TH ST,WARR ACRES,OK,73122,"WARR ACRES, OK"
5516 S MONTE DR,OKLAHOMA CITY,OK,73119,"OKLAHOMA CITY, OK"
5632 NW 37TH ST,WARR ACRES,OK,73122,"WARR ACRES, OK"
5712 Northwood Dr,EDMOND,Ok,73034,"EDMOND, Ok"
5721 SE 8TH ST,OKLAHOMA CITY,OK,73110,"OKLAHOMA CITY, OK"
5809 N Seminole Ct,Warr Acres,OK,73132,"Warr Acres, OK"
600 SW 51ST ST,OKLAHOMA CITY,OK,73109,"OKLAHOMA CITY, OK"
6001 E 76th Ct,TULSA,OK,74136,"TULSA, OK"
601 SW 162nd St,Oklahoma City,OK,73170,"Oklahoma City, OK"
6014 Riviera Dr,Oklahoma City,OK,73112,"Oklahoma City, OK"
605 N Wisconsin Ave,Oklahoma City,OK,73117,"Oklahoma City, OK"
609 Summit Park Ct,Norman,OK,73071,"Norman, OK"
620 S Independence Ave,Cushing,OK,74023,"Cushing, OK"
630 Williams St,Purcell,OK,73080,"Purcell, OK"
6317 PLUM THICKET RD,OKLAHOMA CITY,OK,73162,"OKLAHOMA CITY, OK"
6401 ACORN DR,OKLAHOMA CITY,OK,73151,"OKLAHOMA CITY, OK"
6409 S LINDSAY AVE,OKLAHOMA CITY,OK,73149,"OKLAHOMA CITY, OK"
6417 W KENSINGTON RD,OKLAHOMA CITY,OK,73132,"OKLAHOMA CITY, OK"
6521 E 5TH ST,TULSA,OK,74112,"TULSA, OK"
6701 Elk Canyon Road,Oklahoma City,OK,73162,"Oklahoma City, OK"
6706 E 133 ST S,BIXBY,OK,74008,"BIXBY, OK"
6750 N Peebly Road,Jones,OK,73049,"Jones, OK"
676 NW 17th ST,Moore,OK,73060,"Moore, OK"
6800 N Harvard Ave,Oklahoma City,OK,73132,"Oklahoma City, OK"
6800 S HARVEY PL,OKLAHOMA CITY,OK,73139,"OKLAHOMA CITY, OK"
6801 N Grove Ave,WARR ACRES,OK,73132,"WARR ACRES, OK"
6813 S Harvey Ave,Oklahoma City,OK,73139,"Oklahoma City, OK"
6901 S Country Club Dr,Oklahoma City,OK,73159,"Oklahoma City, OK"
7009 N Lake Front Dr,Warr Acres,OK,73132,"Warr Acres, OK"
,,,,","
,,,,","
,,,,","
,,,,","
,,,,","
,,,,","
,,,,","
,,,,","
,,,,","
,,,,","
,,,,","
,,,,","
,,,,","
,,,,","
